source target weight
0 44683 1
0 47175 1
0 50459 1
0 50986 1
0 54447 1
0 58833 1
0 61525 1
10016 35362 1
10017 38344 1
10017 65033 1
10031 15064 1
10031 36949 1
1006 13191 1
10073 24083 1
10073 49147 1
10115 43000 1
10153 32710 1
10221 24155 1
10221 25168 1
10221 44941 1
10221 50422 1
10221 54396 1
10221 6446 1
10282 35663 1
10282 38777 1
10282 64077 1
1031 12852 1
1031 19635 1
1031 33755 1
1031 60388 1
1031 7938 1
10490 18359 1
10490 22473 1
10490 33479 1
10490 45175 1
10490 45680 1
10490 47251 1
10511 52095 1
10511 57044 1
10511 62490 1
10542 31928 1
10542 61868 1
10555 21048 1
10555 2913 1
10575 21262 1
10575 29199 1
10575 40508 1
10575 58402 1
10594 53987 1
10594 57992 1
10661 24083 1
10763 24050 1
10763 28754 1
10763 60949 1
10808 20010 1
10829 16167 1
10829 18402 1
10829 238 1
10829 32091 1
10829 41967 1
10829 56116 1
10835 25237 1
10843 31222 1
10843 33374 1
10843 36287 1
10843 38947 1
10851 44922 1
10851 48813 1
10851 5233 1
10893 18715 1
10893 60501 1
10904 34880 1
10904 36915 1
10904 42668 1
11016 14665 1
11016 44347 1
11018 32176 1
11018 58244 1
11088 3533 1
11088 7374 1
11128 11420 1
11128 8135 1
11162 53456 1
11162 56186 1
11190 35910 1
11190 4300 1
11200 25439 1
11200 36371 1
11239 39718 1
11334 15549 1
11334 38129 1
11364 43684 1
11364 8544 1
11420 1346 1
11420 18866 1
11420 21934 1
11420 4184 1
11420 4397 1
11420 48362 1
11420 60554 1
11431 24083 1
11431 30825 1
11455 60440 1
11489 44134 1
11489 8920 1
11497 238 1
11497 5408 1
11515 35362 1
11515 8533 1
11551 19635 1
11551 22315 1
11551 38176 1
11551 43000 1
11551 50472 1
11568 17833 1
11568 23199 1
1159 36761 1
1159 49343 1
11645 46469 1
11651 5408 1
11651 6580 1
11659 27929 1
11659 8135 1
11678 30679 1
11678 44306 1
11678 52288 1
11688 45456 1
11688 56153 1
11689 19008 1
11689 46904 1
11700 14056 1
11700 50969 1
11716 42744 1
11716 45608 1
11730 34171 1
11730 40766 1
11784 4105 1
11792 47426 1
11792 53987 1
11811 1648 1
11811 31359 1
11820 3398 1
11820 43057 1
11820 9149 1
11850 17608 1
11850 56814 1
11859 4833 1
11859 49971 1
11859 56001 1
11924 31462 1
11924 38789 1
11984 5018 1
11984 58032 1
1201 31508 1
1201 45491 1
1201 7085 1
1203 41472 1
1203 49254 1
12068 16851 1
12068 47743 1
12143 28859 1
12189 37671 1
12189 5875 1
12236 34009 1
12236 46730 1
12236 49538 1
12246 22577 1
12246 36678 1
12246 43061 1
12247 56359 1
12247 7285 1
12250 38701 1
12250 42760 1
12379 14021 1
12379 44183 1
12407 23038 1
12407 57953 1
12412 20807 1
12412 32555 1
12412 36221 1
12412 54354 1
12412 63618 1
12412 64769 1
12415 36736 1
12415 42161 1
12439 21460 1
12439 36226 1
1252 42800 1
1252 65456 1
12536 15064 1
12536 30693 1
12536 33435 1
127 27415 1
127 4105 1
12702 13782 1
12702 15073 1
12702 19939 1
12720 52213 1
12720 56509 1
12769 33718 1
12769 63033 1
12783 16954 1
12783 9261 1
12794 14804 1
12794 30455 1
12795 32739 1
12795 39768 1
12801 45593 1
12801 8938 1
12809 27718 1
12824 45827 1
12824 55380 1
12852 38148 1
12852 44983 1
12852 58604 1
12878 36761 1
12888 16954 1
12888 44184 1
12913 43000 1
12913 50826 1
12926 46578 1
12948 32514 1
12948 55750 1
13009 17735 1
13009 60398 1
13009 651 1
13164 41251 1
13164 8198 1
13168 45810 1
13168 58032 1
13191 7614 1
13202 17171 1
13202 33196 1
13231 56855 1
13231 930 1
13232 51219 1
13232 9567 1
1325 29933 1
1325 31471 1
13273 23199 1
13273 60887 1
13322 14182 1
13322 60090 1
1340 56370 1
1340 6139 1
1346 16790 1
1346 44723 1
13498 40841 1
13498 9194 1
13559 31462 1
13559 61804 1
13559 8624 1
13573 54144 1
13573 57457 1
13714 46578 1
13714 55485 1
13714 65167 1
13753 22315 1
13753 42795 1
13782 17674 1
13782 62662 1
13807 15085 1
13807 33089 1
1382 54872 1
13885 28012 1
13885 40362 1
13885 47362 1
13885 7112 1
13885 8012 1
13922 14767 1
13922 65112 1
13961 26557 1
13961 62697 1
14001 37895 1
14021 367 1
14021 55332 1
14021 64401 1
14021 7938 1
14040 18715 1
14040 61804 1
1405 3424 1
14056 18025 1
14056 22703 1
14056 34400 1
14056 34513 1
14056 34601 1
14056 487 1
14056 6741 1
14057 6764 1
14057 9386 1
14090 16167 1
14090 52099 1
14151 27564 1
14151 63965 1
14157 20546 1
14157 28758 1
14157 39443 1
14182 37078 1
14209 21170 1
14209 27415 1
14209 58603 1
14211 22473 1
14211 42731 1
1427 18707 1
1427 51235 1
14292 20807 1
14384 25781 1
14384 65112 1
14400 16882 1
14400 41420 1
14419 30439 1
14419 8879 1
14606 2454 1
14606 60169 1
1461 17790 1
1461 23407 1
1461 36287 1
1461 49900 1
1461 59606 1
1461 6797 1
14665 7092 1
14674 22535 1
14674 6250 1
14745 51801 1
14745 53573 1
14767 25781 1
14804 22266 1
14804 28658 1
14813 17383 1
14813 58545 1
14930 23090 1
14930 25781 1
14930 34400 1
14930 3644 1
14930 43822 1
14930 48287 1
14930 53987 1
14936 21958 1
14936 44184 1
15021 15437 1
15021 56807 1
15027 23471 1
15046 29106 1
15046 38989 1
15064 29199 1
15064 31931 1
15073 62021 1
15081 22062 1
15081 7688 1
15086 24155 1
15086 55772 1
15117 4367 1
15144 35179 1
15144 3992 1
15144 58833 1
15144 918 1
15163 30547 1
15163 40645 1
15167 19501 1
15167 24872 1
15228 4036 1
15228 47306 1
15290 42632 1
15290 58288 1
15344 45033 1
15365 40927 1
15365 49254 1
15365 61308 1
15400 3359 1
15405 33740 1
15405 50862 1
15438 49412 1
15438 8426 1
15451 50858 1
15451 61602 1
1550 2550 1
1550 5430 1
15549 20546 1
15599 26866 1
15599 6237 1
15614 30745 1
15631 31931 1
15631 39713 1
15631 41599 1
15631 44967 1
15631 64426 1
15678 37501 1
15678 58831 1
1568 6108 1
15711 21075 1
15716 45486 1
15716 64395 1
1572 47421 1
1572 55854 1
15837 26471 1
15837 55307 1
15837 63139 1
15837 64241 1
15842 18670 1
15842 30894 1
15852 54452 1
15852 59699 1
15868 22627 1
15868 36047 1
15868 50264 1
1593 20832 1
1593 64426 1
15973 21389 1
15973 53018 1
1600 31583 1
1600 35894 1
16023 54447 1
16079 20807 1
16079 48614 1
1609 36915 1
1609 55563 1
16167 19144 1
16167 24472 1
16213 23951 1
16213 58921 1
16236 25766 1
16243 27879 1
16243 48878 1
16380 22703 1
16380 59494 1
1648 37785 1
1648 49900 1
16544 18103 1
16544 24083 1
16544 57449 1
16544 65485 1
16544 8544 1
1655 29549 1
1655 61689 1
16602 41137 1
16602 61306 1
16703 57266 1
16703 8500 1
16743 34560 1
16743 44824 1
16754 39761 1
16754 42917 1
16756 30251 1
16756 7440 1
16775 34207 1
16775 46111 1
16775 46910 1
16775 63976 1
16790 44723 1
16790 53493 1
16851 34625 1
16851 3469 1
16860 24914 1
16860 60153 1
16882 22266 1
16882 43491 1
1696 25732 1
1696 63933 1
16970 25439 1
16970 37175 1
1698 29856 1
1698 6108 1
17038 46756 1
17038 57923 1
17201 17383 1
17201 19711 1
17201 22423 1
17201 29185 1
17201 36222 1
17201 56001 1
17236 62577 1
17236 7641 1
17251 26866 1
17251 39631 1
17352 20228 1
17352 23456 1
17352 29005 1
17412 4247 1
17412 52412 1
17421 51440 1
17421 61306 1
17546 21634 1
17546 41967 1
17566 21435 1
17566 24083 1
17569 33779 1
17569 44562 1
17579 21934 1
17579 36774 1
17608 43457 1
1761 36859 1
1761 41599 1
1767 24050 1
1767 41989 1
1767 58244 1
17674 55373 1
17735 27564 1
17735 34880 1
17735 49254 1
17735 58402 1
17765 47175 1
17788 42133 1
17788 57259 1
17788 6538 1
17790 3676 1
17814 32091 1
17814 60204 1
17818 6741 1
17821 21330 1
17821 39648 1
17833 26294 1
17849 33911 1
17849 46092 1
17849 57615 1
17908 35384 1
17908 5629 1
17934 29359 1
17934 63727 1
18009 2092 1
18009 29797 1
18033 33545 1
18033 46092 1
18033 57565 1
18033 57736 1
18103 23066 1
18103 37584 1
18174 50826 1
18182 28753 1
18182 35255 1
18182 51235 1
18182 53456 1
18182 55414 1
18182 56295 1
18182 60259 1
18182 63228 1
1822 38190 1
1822 4502 1
18302 34009 1
18302 48438 1
18359 34306 1
18378 54447 1
18379 20467 1
18379 39657 1
18402 8930 1
18635 44683 1
18661 42006 1
18661 44102 1
18663 38176 1
18670 37504 1
18703 4944 1
18767 38701 1
18767 48298 1
18769 61653 1
18770 29454 1
18770 63251 1
18865 55247 1
18866 739 1
18901 62319 1
1891 35894 1
1891 52157 1
18990 42917 1
18990 54667 1
19008 58210 1
19069 34678 1
1909 49318 1
1909 56381 1
19098 63207 1
19098 64612 1
19103 26481 1
19103 35260 1
19140 61039 1
19140 63150 1
19144 23122 1
19144 28330 1
19144 35503 1
19210 43316 1
19210 59252 1
19228 3362 1
19228 36801 1
19228 60942 1
19261 43833 1
19261 44606 1
19261 64181 1
19287 49379 1
19287 61875 1
19374 59650 1
19374 6949 1
19388 23852 1
19388 52090 1
19501 36107 1
19501 40126 1
19501 4367 1
19501 43988 1
19501 5296 1
19501 5972 1
19506 60204 1
19506 8348 1
19506 9009 1
1957 33296 1
1957 739 1
19609 34207 1
19609 45803 1
19635 27611 1
19635 38805 1
19635 40075 1
19635 44723 1
19635 50826 1
19635 53279 1
19635 8302 1
19679 40776 1
19679 59070 1
19711 20010 1
19711 50041 1
19711 58541 1
19711 6580 1
19730 32053 1
19732 26270 1
19782 25324 1
19782 49538 1
19858 9206 1
19884 25531 1
19884 49772 1
19897 34144 1
19897 4247 1
19919 55743 1
19919 62767 1
19919 6764 1
19939 65167 1
20010 23471 1
20010 36704 1
20010 55392 1
20018 25682 1
20018 6113 1
20077 39841 1
20077 42436 1
20127 31359 1
20127 37785 1
20142 33779 1
20142 45366 1
20167 32227 1
20167 64509 1
20228 39916 1
20228 54877 1
20228 61525 1
20310 45887 1
20310 7903 1
20467 5068 1
20528 56158 1
20528 8302 1
20546 21301 1
20546 31371 1
20546 35894 1
20546 3656 1
20551 58449 1
20551 61198 1
20807 36287 1
20807 38149 1
20807 57080 1
20807 59220 1
20812 44103 1
20812 51786 1
20812 6534 1
20832 62214 1
20835 50969 1
20844 62217 1
20844 63944 1
20852 36585 1
20852 4502 1
20852 6785 1
2092 27119 1
2094 39821 1
2094 60803 1
2094 720 1
20966 30547 1
20966 46127 1
20966 59928 1
20987 36678 1
20987 52502 1
21033 22618 1
21048 46471 1
21075 38805 1
21075 38900 1
21170 58198 1
2121 45788 1
2121 59252 1
21228 31222 1
21262 33435 1
21262 54694 1
21297 32432 1
21297 54974 1
21301 37671 1
21301 57746 1
21389 59070 1
21413 6359 1
21413 7335 1
21435 49109 1
21460 53732 1
2151 22497 1
2151 37690 1
2151 5560 1
2151 58833 1
21575 35894 1
21575 42686 1
21575 7920 1
21602 33911 1
21602 57615 1
21634 41967 1
21650 50862 1
21678 32210 1
21678 57226 1
21693 23616 1
21693 5613 1
21758 48614 1
21758 63843 1
21835 25058 1
21835 35894 1
2185 38149 1
2185 39665 1
21929 38836 1
21929 44202 1
21958 33755 1
21973 34306 1
21974 25831 1
21974 32932 1
22061 5289 1
22061 57061 1
22062 31875 1
22088 55332 1
22090 36412 1
22090 40609 1
2219 48822 1
2219 59928 1
22217 4656 1
22217 6383 1
2225 59494 1
22261 55414 1
22261 56174 1
22266 30679 1
22266 32555 1
22266 9786 1
22285 38508 1
22285 53793 1
22285 55649 1
22285 62363 1
22315 48514 1
22356 29547 1
22356 35507 1
224 43833 1
224 49445 1
22407 32942 1
22407 64239 1
22423 3009 1
22423 4565 1
22472 26270 1
22472 28076 1
22472 57167 1
22473 3452 1
22488 36877 1
22488 7136 1
22497 8643 1
22535 31973 1
22577 6770 1
2260 29549 1
2260 53456 1
2260 8027 1
22618 49605 1
22627 50904 1
22647 27709 1
22647 38849 1
22702 53957 1
22703 43374 1
22728 46672 1
22728 56094 1
22893 24472 1
22893 53042 1
2292 27203 1
2292 27929 1
22972 63067 1
23027 44202 1
23027 47427 1
23027 54667 1
23027 60472 1
23027 6712 1
23066 49971 1
23122 43162 1
23185 43133 1
23185 54267 1
23199 6741 1
23215 4854 1
23215 54954 1
23334 6797 1
23438 41137 1
23438 64709 1
23439 39524 1
23439 9015 1
23449 64769 1
23449 7263 1
23456 42837 1
23471 3469 1
23471 36874 1
23471 40287 1
23471 5237 1
23471 53002 1
23471 56589 1
2348 44788 1
2348 57565 1
23507 48477 1
23507 57248 1
23540 51786 1
2355 43374 1
2355 53558 1
23616 34763 1
23616 36858 1
23659 33864 1
23659 50029 1
23690 5591 1
23760 26564 1
23760 38538 1
23852 32519 1
23852 6363 1
23881 26523 1
23881 9511 1
23886 36849 1
23886 7263 1
23912 39665 1
23912 51881 1
2392 54268 1
2392 56231 1
23950 49651 1
23951 57449 1
24050 3656 1
24050 40644 1
24067 9769 1
24083 31471 1
24083 55648 1
24083 61262 1
2411 43822 1
2411 5126 1
24133 37619 1
24133 64235 1
24155 50225 1
24157 42900 1
24157 53757 1
24229 42760 1
24229 4977 1
24256 34906 1
24256 41026 1
24324 37163 1
24324 40291 1
24362 29781 1
24362 60388 1
24377 35568 1
24377 39725 1
24377 56803 1
24383 32739 1
24383 49412 1
24383 5152 1
24383 63048 1
24383 6718 1
24426 53456 1
24496 39861 1
24496 51786 1
2454 38777 1
2454 64077 1
24641 25456 1
24641 3009 1
24641 48807 1
24643 28221 1
24643 33545 1
24677 60619 1
24677 61950 1
24704 47175 1
24720 487 1
24721 26456 1
24721 6633 1
2474 37403 1
2474 55804 1
24755 31628 1
24755 50904 1
24772 58541 1
24772 6633 1
24824 42668 1
24824 6764 1
24824 9505 1
24858 864 1
24865 34031 1
24865 476 1
24865 50515 1
24865 63027 1
24865 6741 1
24872 34506 1
24914 34400 1
24914 38664 1
24914 61262 1
24914 8533 1
24984 50986 1
25058 9877 1
25067 31315 1
25067 53114 1
25168 5430 1
25175 29797 1
25175 53791 1
25178 57240 1
25178 9373 1
25209 30626 1
25209 5622 1
25222 40637 1
25222 9650 1
25237 45680 1
25260 27788 1
25260 46277 1
25324 34031 1
25324 46730 1
25332 26270 1
25332 29106 1
25367 55166 1
25409 30658 1
25409 31103 1
25411 27656 1
25411 3537 1
25456 4565 1
2550 54396 1
25511 4481 1
25511 56646 1
25531 3644 1
25682 49571 1
25682 63723 1
25714 26960 1
25714 45680 1
25732 28330 1
25738 26002 1
25738 7659 1
25757 60405 1
25757 61981 1
25766 32802 1
25770 27190 1
25770 39814 1
25775 35384 1
25775 54791 1
25789 43328 1
25789 53456 1
25789 54452 1
25796 26023 1
25796 44624 1
25831 5935 1
25933 48438 1
25933 48807 1
25970 34423 1
26002 53574 1
26023 31604 1
26096 30030 1
26188 32519 1
26188 52090 1
26270 41190 1
26270 46897 1
26270 60472 1
26270 64210 1
26294 60887 1
26365 42161 1
26365 56589 1
26365 7187 1
26456 58541 1
26471 40743 1
26481 41190 1
265 3656 1
265 38520 1
265 47321 1
26523 44606 1
26523 58449 1
26523 6446 1
26528 34678 1
26528 58271 1
26564 47421 1
26620 44362 1
26712 35288 1
26740 55906 1
26740 63976 1
26866 31758 1
26866 31819 1
26866 44908 1
26866 61471 1
27119 53791 1
27134 5068 1
27134 61950 1
27134 64210 1
27137 38836 1
27137 46636 1
27140 27301 1
27140 64816 1
2715 3187 1
2715 903 1
27163 48514 1
27163 65203 1
27203 48362 1
27276 5823 1
27276 62831 1
27283 31508 1
27283 37619 1
27283 5616 1
27283 63843 1
27301 6884 1
27308 43133 1
27323 43061 1
27323 6770 1
27325 5237 1
27325 8620 1
27415 32710 1
27415 37175 1
27415 37671 1
27444 42632 1
27444 63618 1
27575 34171 1
27575 34173 1
27592 44924 1
27592 5296 1
27605 50515 1
27605 6139 1
27611 32024 1
27611 60554 1
27656 3314 1
27656 56295 1
27659 37671 1
27659 51517 1
27659 8948 1
27709 28887 1
27709 49651 1
27718 29292 1
27788 40362 1
27879 52031 1
27929 32024 1
27929 38900 1
27929 40637 1
27929 55643 1
27929 7503 1
27929 8948 1
27962 31501 1
27962 3656 1
28012 4011 1
28012 46408 1
28012 59252 1
28076 51108 1
28221 918 1
28265 48807 1
28265 54776 1
28311 62108 1
28311 63422 1
28330 46578 1
28424 34907 1
28424 45067 1
28503 45788 1
28574 33545 1
28574 40100 1
28574 51786 1
28574 61875 1
28658 41119 1
28753 30319 1
28753 45827 1
28754 35283 1
28758 56276 1
28859 55571 1
28878 59306 1
28887 38849 1
29005 39631 1
29033 29861 1
29033 51954 1
29034 35436 1
29034 8426 1
29049 5916 1
29049 6245 1
29061 31153 1
29061 55993 1
29061 60472 1
29061 7092 1
29089 46344 1
29089 930 1
29104 51440 1
29104 64709 1
2913 44908 1
2913 50862 1
2913 54267 1
29171 30658 1
29171 31103 1
29171 38176 1
29185 58803 1
29199 37999 1
29292 46578 1
29294 47175 1
29353 35288 1
29353 42900 1
29353 44202 1
29353 50570 1
29353 63282 1
29359 37887 1
29359 5408 1
29379 43787 1
29379 52230 1
29381 6685 1
29454 62744 1
29543 42637 1
29543 61262 1
29547 4378 1
29552 40840 1
29552 49779 1
2957 39678 1
2957 54629 1
2959 56186 1
29629 48556 1
29629 48971 1
29781 44184 1
29797 34400 1
29856 54354 1
29870 56149 1
29870 720 1
29933 34031 1
29937 50679 1
29937 56807 1
29937 6363 1
29937 8544 1
30030 42637 1
30110 42907 1
30110 53013 1
30155 47030 1
30155 48807 1
30155 60002 1
30160 65456 1
30205 33903 1
30205 58069 1
30205 5823 1
30225 4184 1
30225 58604 1
30251 40653 1
30302 48822 1
30319 32432 1
30335 32480 1
30335 40535 1
30338 42623 1
30338 46408 1
30338 51212 1
30380 53118 1
30380 59928 1
30455 41119 1
30471 34579 1
30626 30679 1
30679 43608 1
30679 4656 1
30679 5237 1
30679 58271 1
30691 43374 1
30691 476 1
30691 61602 1
30693 58453 1
30733 46578 1
30733 49178 1
30745 49568 1
30767 31973 1
30767 6250 1
30825 63150 1
30842 43303 1
30842 43412 1
30894 54142 1
30926 54043 1
30926 56066 1
30940 61525 1
30969 32477 1
30969 64878 1
31033 32482 1
31033 59861 1
31080 43374 1
31080 49412 1
31080 50340 1
31137 35737 1
31137 47471 1
31153 44347 1
31257 47426 1
31257 57992 1
31315 39718 1
31371 40751 1
31501 59556 1
31508 57819 1
31508 6654 1
31513 52288 1
31520 63635 1
31520 65159 1
31583 62069 1
31585 3676 1
31604 44624 1
31619 39743 1
31619 57457 1
31628 33988 1
31628 47175 1
31628 9511 1
3167 50862 1
3167 6359 1
3167 7335 1
31703 37671 1
31758 42837 1
31819 38516 1
31819 46726 1
3187 54142 1
31875 4397 1
31875 60398 1
31928 37884 1
31928 65308 1
31931 44908 1
31931 62303 1
31961 63282 1
32024 60554 1
32053 38772 1
32059 58803 1
32091 44103 1
32117 54142 1
32117 65210 1
32176 60259 1
32210 8948 1
32227 3863 1
32245 50422 1
32314 34591 1
32314 46111 1
32345 32710 1
32431 36121 1
32431 4367 1
32431 49588 1
32455 63963 1
32455 7153 1
32477 36281 1
32480 33988 1
32480 7828 1
32482 37884 1
32482 65308 1
32514 49459 1
32555 51420 1
32555 54922 1
32555 60942 1
32555 64878 1
32690 57011 1
32690 64882 1
32710 41635 1
32710 42744 1
32710 4502 1
32710 49605 1
32710 51801 1
32730 50986 1
32802 64709 1
32901 34591 1
32901 46111 1
32932 9392 1
32942 63207 1
33082 62042 1
33089 49547 1
3309 33558 1
3309 4573 1
3314 42443 1
3319 43413 1
3319 44207 1
33196 58474 1
33196 60942 1
33287 55676 1
33287 62017 1
